,n_step,energy,average_magnetization
0,0.0,-314.0,-0.13
1,1.0,-366.0,-0.06
2,2.0,-408.0,-0.17
3,3.0,-448.0,-0.16
4,4.0,-474.0,-0.22
5,5.0,-490.0,-0.19
6,6.0,-484.0,-0.195
7,7.0,-466.0,-0.2
8,8.0,-498.0,-0.345
9,9.0,-514.0,-0.335
10,10.0,-494.0,-0.37
11,11.0,-486.0,-0.44
12,12.0,-518.0,-0.46
13,13.0,-548.0,-0.545
14,14.0,-550.0,-0.525
15,15.0,-558.0,-0.54
16,16.0,-600.0,-0.62
17,17.0,-606.0,-0.605
18,18.0,-642.0,-0.67
19,19.0,-634.0,-0.71
20,20.0,-682.0,-0.745
21,21.0,-692.0,-0.78
22,22.0,-700.0,-0.775
23,23.0,-650.0,-0.715
24,24.0,-640.0,-0.685
25,25.0,-664.0,-0.675
26,26.0,-652.0,-0.64
27,27.0,-688.0,-0.675
28,28.0,-670.0,-0.685
29,29.0,-660.0,-0.69
30,30.0,-674.0,-0.67
31,31.0,-668.0,-0.67
32,32.0,-648.0,-0.66
33,33.0,-644.0,-0.635
34,34.0,-644.0,-0.63
35,35.0,-642.0,-0.68
36,36.0,-620.0,-0.655
37,37.0,-590.0,-0.63
38,38.0,-590.0,-0.545
39,39.0,-618.0,-0.52
40,40.0,-658.0,-0.585
41,41.0,-644.0,-0.54
42,42.0,-602.0,-0.485
43,43.0,-600.0,-0.52
44,44.0,-568.0,-0.5
45,45.0,-598.0,-0.51
46,46.0,-610.0,-0.56
47,47.0,-616.0,-0.52
48,48.0,-654.0,-0.485
49,49.0,-638.0,-0.5
50,50.0,-612.0,-0.46
51,51.0,-572.0,-0.44
52,52.0,-610.0,-0.45
53,53.0,-594.0,-0.405
54,54.0,-590.0,-0.415
55,55.0,-600.0,-0.36
56,56.0,-602.0,-0.42
57,57.0,-598.0,-0.41
58,58.0,-576.0,-0.37
59,59.0,-608.0,-0.395
60,60.0,-594.0,-0.42
61,61.0,-588.0,-0.42
62,62.0,-608.0,-0.45
63,63.0,-610.0,-0.415
64,64.0,-594.0,-0.4
65,65.0,-588.0,-0.415
66,66.0,-548.0,-0.405
67,67.0,-556.0,-0.455
68,68.0,-556.0,-0.425
69,69.0,-602.0,-0.425
70,70.0,-576.0,-0.37
71,71.0,-584.0,-0.385
72,72.0,-590.0,-0.38
73,73.0,-620.0,-0.4
74,74.0,-622.0,-0.39
75,75.0,-604.0,-0.39
76,76.0,-596.0,-0.375
77,77.0,-576.0,-0.375
78,78.0,-586.0,-0.35
79,79.0,-578.0,-0.35
80,80.0,-594.0,-0.425
81,81.0,-586.0,-0.445
82,82.0,-582.0,-0.51
83,83.0,-580.0,-0.485
84,84.0,-630.0,-0.48
85,85.0,-634.0,-0.475
86,86.0,-648.0,-0.51
87,87.0,-618.0,-0.515
88,88.0,-576.0,-0.485
89,89.0,-546.0,-0.495
90,90.0,-560.0,-0.52
91,91.0,-572.0,-0.54
92,92.0,-584.0,-0.52
93,93.0,-596.0,-0.525
94,94.0,-622.0,-0.55
95,95.0,-620.0,-0.545
96,96.0,-612.0,-0.47
97,97.0,-612.0,-0.44
98,98.0,-582.0,-0.5
99,99.0,-616.0,-0.52
100,100.0,-666.0,-0.545
101,101.0,-658.0,-0.54
102,102.0,-640.0,-0.58
103,103.0,-602.0,-0.56
104,104.0,-608.0,-0.54
105,105.0,-610.0,-0.575
106,106.0,-606.0,-0.605
107,107.0,-624.0,-0.535
108,108.0,-616.0,-0.56
109,109.0,-630.0,-0.58
110,110.0,-648.0,-0.575
111,111.0,-628.0,-0.59
112,112.0,-640.0,-0.585
113,113.0,-594.0,-0.545
114,114.0,-604.0,-0.545
115,115.0,-590.0,-0.58
116,116.0,-618.0,-0.575
117,117.0,-604.0,-0.5
118,118.0,-616.0,-0.55
119,119.0,-654.0,-0.54
