,n_step,energy,average_magnetization
0,0.0,-145.0,-0.025
1,1.0,-199.0,0.085
2,2.0,-199.0,0.13
3,3.0,-219.0,0.215
4,4.0,-181.0,0.165
5,5.0,-195.0,0.26
6,6.0,-189.0,0.22
7,7.0,-203.0,0.195
8,8.0,-203.0,0.315
9,9.0,-207.0,0.29
10,10.0,-195.0,0.255
11,11.0,-207.0,0.265
12,12.0,-239.0,0.25
13,13.0,-203.0,0.205
14,14.0,-199.0,0.19
15,15.0,-189.0,0.185
16,16.0,-199.0,0.175
17,17.0,-203.0,0.215
18,18.0,-203.0,0.225
19,19.0,-211.0,0.335
20,20.0,-231.0,0.355
21,21.0,-211.0,0.265
22,22.0,-191.0,0.22
23,23.0,-191.0,0.195
24,24.0,-201.0,0.315
25,25.0,-191.0,0.3
26,26.0,-191.0,0.29
27,27.0,-205.0,0.335
28,28.0,-195.0,0.295
29,29.0,-171.0,0.345
30,30.0,-195.0,0.395
31,31.0,-205.0,0.445
32,32.0,-223.0,0.47
33,33.0,-239.0,0.415
34,34.0,-227.0,0.435
35,35.0,-257.0,0.475
36,36.0,-217.0,0.315
37,37.0,-199.0,0.23
38,38.0,-211.0,0.19
39,39.0,-219.0,0.305
40,40.0,-219.0,0.405
41,41.0,-215.0,0.355
42,42.0,-183.0,0.29
43,43.0,-223.0,0.275
44,44.0,-191.0,0.21
45,45.0,-175.0,0.205
46,46.0,-169.0,0.2
47,47.0,-189.0,0.285
48,48.0,-211.0,0.33
49,49.0,-205.0,0.285
50,50.0,-217.0,0.285
51,51.0,-207.0,0.245
52,52.0,-185.0,0.2
53,53.0,-211.0,0.125
54,54.0,-201.0,0.155
55,55.0,-209.0,0.165
56,56.0,-207.0,0.235
57,57.0,-205.0,0.205
58,58.0,-213.0,0.305
59,59.0,-207.0,0.36
60,60.0,-221.0,0.31
61,61.0,-215.0,0.255
62,62.0,-215.0,0.21
63,63.0,-209.0,0.13
64,64.0,-187.0,0.085
65,65.0,-201.0,0.14
66,66.0,-203.0,0.105
67,67.0,-203.0,0.045
68,68.0,-187.0,-0.035
69,69.0,-211.0,-0.015
70,70.0,-201.0,0.01
71,71.0,-211.0,0.0
72,72.0,-187.0,0.07
73,73.0,-189.0,0.05
74,74.0,-187.0,0.045
75,75.0,-219.0,0.11
76,76.0,-207.0,0.12
77,77.0,-189.0,0.115
78,78.0,-187.0,0.075
79,79.0,-175.0,0.045
80,80.0,-213.0,-0.015
81,81.0,-193.0,0.05
82,82.0,-193.0,-0.04
83,83.0,-241.0,0.05
84,84.0,-199.0,0.11
85,85.0,-163.0,0.065
86,86.0,-189.0,-0.035
87,87.0,-217.0,0.025
