,n_step,energy,average_magnetization
0,0.0,-292.0,-0.115
1,1.0,-370.0,-0.1
2,2.0,-440.0,-0.205
3,3.0,-450.0,-0.275
4,4.0,-462.0,-0.24
5,5.0,-506.0,-0.23
6,6.0,-536.0,-0.255
7,7.0,-530.0,-0.34
8,8.0,-580.0,-0.43
9,9.0,-580.0,-0.455
10,10.0,-586.0,-0.39
11,11.0,-566.0,-0.43
12,12.0,-582.0,-0.44
13,13.0,-604.0,-0.4
14,14.0,-618.0,-0.365
15,15.0,-620.0,-0.34
16,16.0,-652.0,-0.31
17,17.0,-638.0,-0.31
18,18.0,-604.0,-0.3
19,19.0,-640.0,-0.3
20,20.0,-650.0,-0.315
21,21.0,-640.0,-0.325
22,22.0,-646.0,-0.305
23,23.0,-650.0,-0.3
24,24.0,-648.0,-0.32
25,25.0,-656.0,-0.32
26,26.0,-650.0,-0.32
27,27.0,-614.0,-0.32
28,28.0,-636.0,-0.33
29,29.0,-654.0,-0.36
30,30.0,-626.0,-0.36
31,31.0,-660.0,-0.385
32,32.0,-614.0,-0.36
33,33.0,-606.0,-0.35
34,34.0,-606.0,-0.315
35,35.0,-624.0,-0.315
36,36.0,-602.0,-0.29
37,37.0,-606.0,-0.335
38,38.0,-614.0,-0.39
39,39.0,-618.0,-0.37
40,40.0,-640.0,-0.395
41,41.0,-636.0,-0.39
42,42.0,-668.0,-0.4
43,43.0,-650.0,-0.35
44,44.0,-668.0,-0.38
45,45.0,-674.0,-0.38
46,46.0,-662.0,-0.395
47,47.0,-678.0,-0.415
48,48.0,-682.0,-0.39
49,49.0,-648.0,-0.345
50,50.0,-642.0,-0.335
51,51.0,-634.0,-0.335
52,52.0,-650.0,-0.355
53,53.0,-646.0,-0.33
54,54.0,-620.0,-0.305
55,55.0,-662.0,-0.365
56,56.0,-694.0,-0.41
57,57.0,-698.0,-0.42
58,58.0,-696.0,-0.41
59,59.0,-626.0,-0.36
60,60.0,-664.0,-0.38
61,61.0,-656.0,-0.39
62,62.0,-662.0,-0.38
63,63.0,-666.0,-0.42
64,64.0,-660.0,-0.435
65,65.0,-660.0,-0.455
66,66.0,-664.0,-0.455
67,67.0,-680.0,-0.46
68,68.0,-678.0,-0.495
69,69.0,-646.0,-0.48
70,70.0,-656.0,-0.5
71,71.0,-644.0,-0.52
72,72.0,-624.0,-0.505
73,73.0,-622.0,-0.535
74,74.0,-664.0,-0.565
75,75.0,-686.0,-0.56
76,76.0,-684.0,-0.585
77,77.0,-668.0,-0.6
78,78.0,-690.0,-0.565
79,79.0,-684.0,-0.585
80,80.0,-660.0,-0.58
81,81.0,-662.0,-0.585
82,82.0,-640.0,-0.62
83,83.0,-678.0,-0.62
84,84.0,-694.0,-0.585
85,85.0,-674.0,-0.575
86,86.0,-670.0,-0.52
87,87.0,-684.0,-0.57
88,88.0,-664.0,-0.585
89,89.0,-688.0,-0.6
90,90.0,-670.0,-0.58
91,91.0,-666.0,-0.565
92,92.0,-672.0,-0.56
93,93.0,-660.0,-0.525
94,94.0,-702.0,-0.58
95,95.0,-696.0,-0.61
96,96.0,-688.0,-0.615
97,97.0,-692.0,-0.645
98,98.0,-710.0,-0.67
99,99.0,-708.0,-0.685
100,100.0,-722.0,-0.705
101,101.0,-726.0,-0.715
102,102.0,-712.0,-0.7
103,103.0,-700.0,-0.695
104,104.0,-712.0,-0.715
105,105.0,-682.0,-0.67
106,106.0,-682.0,-0.665
107,107.0,-666.0,-0.645
108,108.0,-624.0,-0.63
109,109.0,-614.0,-0.595
110,110.0,-650.0,-0.615
111,111.0,-672.0,-0.58
112,112.0,-678.0,-0.575
113,113.0,-658.0,-0.61
114,114.0,-668.0,-0.615
115,115.0,-654.0,-0.605
116,116.0,-646.0,-0.57
117,117.0,-670.0,-0.575
118,118.0,-662.0,-0.56
119,119.0,-676.0,-0.55
120,120.0,-668.0,-0.595
121,121.0,-672.0,-0.615
122,122.0,-678.0,-0.655
123,123.0,-656.0,-0.63
124,124.0,-664.0,-0.62
125,125.0,-662.0,-0.63
126,126.0,-662.0,-0.6
127,127.0,-656.0,-0.66
128,128.0,-640.0,-0.65
129,129.0,-632.0,-0.625
130,130.0,-660.0,-0.64
131,131.0,-670.0,-0.66
132,132.0,-690.0,-0.67
133,133.0,-688.0,-0.68
134,134.0,-706.0,-0.69
135,135.0,-682.0,-0.67
136,136.0,-702.0,-0.67
137,137.0,-682.0,-0.7
138,138.0,-666.0,-0.69
139,139.0,-700.0,-0.67
140,140.0,-678.0,-0.655
141,141.0,-678.0,-0.66
142,142.0,-650.0,-0.62
143,143.0,-672.0,-0.675
144,144.0,-672.0,-0.66
145,145.0,-692.0,-0.62
146,146.0,-690.0,-0.605
147,147.0,-656.0,-0.565
148,148.0,-666.0,-0.555
149,149.0,-656.0,-0.57
150,150.0,-644.0,-0.58
151,151.0,-684.0,-0.585
152,152.0,-678.0,-0.61
153,153.0,-654.0,-0.645
154,154.0,-670.0,-0.66
155,155.0,-680.0,-0.68
156,156.0,-688.0,-0.7
157,157.0,-694.0,-0.71
158,158.0,-698.0,-0.71
159,159.0,-678.0,-0.65
160,160.0,-678.0,-0.685
161,161.0,-648.0,-0.675
162,162.0,-666.0,-0.66
163,163.0,-696.0,-0.705
164,164.0,-666.0,-0.68
165,165.0,-646.0,-0.665
166,166.0,-624.0,-0.665
167,167.0,-674.0,-0.76
168,168.0,-702.0,-0.805
169,169.0,-690.0,-0.855
170,170.0,-712.0,-0.87
171,171.0,-688.0,-0.885
172,172.0,-700.0,-0.89
173,173.0,-704.0,-0.905
174,174.0,-720.0,-0.92
175,175.0,-706.0,-0.93
176,176.0,-710.0,-0.925
177,177.0,-716.0,-0.955
178,178.0,-730.0,-0.965
179,179.0,-716.0,-0.955
180,180.0,-734.0,-0.98
181,181.0,-734.0,-0.975
182,182.0,-740.0,-0.985
183,183.0,-738.0,-0.98
184,184.0,-712.0,-0.96
185,185.0,-724.0,-0.965
186,186.0,-726.0,-0.97
187,187.0,-708.0,-0.955
188,188.0,-738.0,-0.985
189,189.0,-738.0,-0.98
190,190.0,-728.0,-0.965
191,191.0,-710.0,-0.95
192,192.0,-722.0,-0.965
193,193.0,-720.0,-0.96
194,194.0,-728.0,-0.965
