,n_step,energy,average_magnetization
0,0.0,-5.0,-0.0625
1,1.0,-13.0,0.0625
2,2.0,-9.0,-0.0625
3,3.0,-9.0,-0.125
4,4.0,-9.0,-0.3125
5,5.0,-11.0,-0.1875
6,6.0,-3.0,0.1875
7,7.0,-7.0,-0.125
8,8.0,-11.0,-0.25
9,9.0,-15.0,-0.3125
10,10.0,-7.0,-0.1875
11,11.0,-19.0,0.0
12,12.0,-7.0,-0.1875
13,13.0,-15.0,-0.5
14,14.0,-13.0,-0.625
15,15.0,-13.0,-0.1875
16,16.0,-7.0,-0.0625
17,17.0,-5.0,-0.0625
18,18.0,-9.0,-0.4375
19,19.0,-17.0,-0.625
20,20.0,-11.0,-0.375
21,21.0,-13.0,-0.375
22,22.0,-9.0,-0.3125
23,23.0,-7.0,0.3125
24,24.0,-7.0,0.0
25,25.0,-13.0,0.4375
26,26.0,-13.0,0.125
27,27.0,-15.0,0.3125
28,28.0,-11.0,0.3125
29,29.0,-17.0,0.3125
30,30.0,-19.0,0.5
31,31.0,-17.0,0.1875
32,32.0,-9.0,-0.0625
33,33.0,-1.0,-0.1875
34,34.0,-17.0,-0.3125
35,35.0,-15.0,-0.125
36,36.0,-13.0,-0.375
37,37.0,-15.0,-0.3125
38,38.0,-15.0,0.3125
39,39.0,-5.0,0.4375
40,40.0,-9.0,0.4375
41,41.0,-13.0,-0.125
42,42.0,-13.0,-0.0625
43,43.0,-19.0,-0.25
44,44.0,-11.0,0.0
45,45.0,-15.0,-0.125
46,46.0,-5.0,0.0
47,47.0,-9.0,-0.0625
48,48.0,-7.0,0.3125
49,49.0,-13.0,0.0625
50,50.0,-1.0,-0.0625
51,51.0,-5.0,0.0625
52,52.0,-15.0,0.3125
53,53.0,-9.0,0.1875
54,54.0,-17.0,0.25
55,55.0,-11.0,0.3125
56,56.0,-11.0,0.3125
57,57.0,-13.0,0.5
58,58.0,-15.0,0.25
59,59.0,-15.0,-0.0625
60,60.0,-15.0,-0.1875
61,61.0,-9.0,-0.3125
62,62.0,-7.0,-0.4375
63,63.0,-17.0,-0.1875
64,64.0,-11.0,-0.125
65,65.0,-3.0,0.0
66,66.0,-13.0,0.125
67,67.0,-15.0,0.1875
68,68.0,-11.0,0.0
69,69.0,-5.0,-0.125
70,70.0,-17.0,-0.4375
71,71.0,-11.0,0.125
72,72.0,-15.0,0.0625
73,73.0,-13.0,-0.0625
74,74.0,-21.0,0.1875
75,75.0,-13.0,0.0
76,76.0,-7.0,0.125
77,77.0,-9.0,0.0
78,78.0,-21.0,0.1875
79,79.0,-19.0,-0.125
80,80.0,-15.0,-0.3125
81,81.0,-15.0,-0.4375
82,82.0,-19.0,-0.625
83,83.0,-23.0,-0.625
84,84.0,-15.0,-0.4375
85,85.0,-15.0,-0.375
86,86.0,-17.0,-0.4375
87,87.0,-17.0,0.0
88,88.0,-11.0,0.0625
89,89.0,-7.0,0.25
90,90.0,-13.0,-0.0625
91,91.0,-9.0,0.0625
92,92.0,-11.0,0.3125
93,93.0,-13.0,0.1875
94,94.0,-11.0,0.25
95,95.0,-17.0,0.4375
96,96.0,-15.0,0.1875
97,97.0,-9.0,-0.0625
98,98.0,-13.0,-0.0625
99,99.0,-15.0,0.1875
100,100.0,-15.0,0.125
101,101.0,-5.0,0.0
102,102.0,-15.0,0.0625
103,103.0,-9.0,-0.125
104,104.0,-9.0,0.25
105,105.0,-13.0,0.125
106,106.0,-15.0,0.3125
107,107.0,-21.0,0.1875
108,108.0,-17.0,-0.1875
109,109.0,-9.0,-0.25
110,110.0,-15.0,-0.1875
111,111.0,-9.0,-0.125
112,112.0,-5.0,0.0
113,113.0,-9.0,-0.1875
114,114.0,-7.0,-0.3125
115,115.0,-13.0,-0.375
116,116.0,-13.0,-0.4375
117,117.0,-17.0,-0.5625
118,118.0,-13.0,-0.4375
119,119.0,-9.0,-0.375
120,120.0,-13.0,-0.3125
121,121.0,-7.0,-0.1875
122,122.0,-9.0,0.125
123,123.0,-13.0,0.0
124,124.0,-15.0,0.0625
125,125.0,-15.0,0.0
126,126.0,-7.0,-0.125
127,127.0,-13.0,-0.1875
128,128.0,-5.0,0.0625
129,129.0,-3.0,0.0625
130,130.0,-3.0,0.375
131,131.0,-9.0,0.0
132,132.0,-19.0,0.125
133,133.0,-17.0,0.25
134,134.0,-15.0,0.1875
135,135.0,-11.0,0.125
136,136.0,-9.0,-0.125
137,137.0,-9.0,0.0
138,138.0,-13.0,-0.0625
139,139.0,-5.0,0.0
140,140.0,-15.0,0.375
141,141.0,-21.0,0.5
142,142.0,-15.0,0.25
143,143.0,-9.0,0.0625
144,144.0,-11.0,0.125
145,145.0,-13.0,0.125
146,146.0,-19.0,0.4375
147,147.0,-9.0,0.3125
148,148.0,-17.0,0.3125
149,149.0,-17.0,0.625
150,150.0,-23.0,0.5625
151,151.0,-27.0,0.6875
152,152.0,-19.0,0.5
153,153.0,-13.0,0.25
154,154.0,-9.0,0.125
155,155.0,-11.0,-0.0625
156,156.0,-9.0,0.375
157,157.0,-5.0,0.3125
158,158.0,-7.0,0.1875
159,159.0,-7.0,0.0
160,160.0,-13.0,0.3125
161,161.0,-5.0,0.1875
162,162.0,-19.0,0.375
163,163.0,-11.0,0.0
164,164.0,-9.0,-0.0625
165,165.0,-7.0,-0.0625
166,166.0,-11.0,-0.125
167,167.0,-1.0,0.0
168,168.0,-7.0,-0.4375
169,169.0,-13.0,-0.6875
170,170.0,-7.0,-0.3125
171,171.0,-11.0,-0.5
172,172.0,-13.0,-0.4375
173,173.0,-17.0,-0.75
174,174.0,-11.0,-0.375
175,175.0,-13.0,-0.3125
176,176.0,-11.0,-0.1875
177,177.0,-15.0,-0.1875
178,178.0,-21.0,-0.625
179,179.0,-7.0,-0.25
180,180.0,-13.0,0.0625
181,181.0,-11.0,-0.1875
182,182.0,-13.0,-0.625
183,183.0,-13.0,-0.25
184,184.0,-17.0,-0.4375
185,185.0,-9.0,-0.375
186,186.0,-11.0,-0.125
187,187.0,-15.0,-0.25
188,188.0,-19.0,-0.25
189,189.0,-17.0,-0.5
190,190.0,-19.0,-0.5625
191,191.0,-15.0,-0.5
192,192.0,-19.0,-0.625
193,193.0,-17.0,-0.625
194,194.0,-23.0,-0.75
195,195.0,-17.0,-0.5
196,196.0,-11.0,-0.375
197,197.0,-19.0,-0.4375
198,198.0,-21.0,-0.25
199,199.0,-17.0,-0.625
200,200.0,-13.0,-0.5
201,201.0,-17.0,-0.625
202,202.0,-11.0,-0.375
203,203.0,-13.0,-0.375
204,204.0,-13.0,-0.0625
205,205.0,1.0,-0.25
206,206.0,-17.0,-0.375
207,207.0,-17.0,-0.375
208,208.0,-15.0,-0.4375
209,209.0,-17.0,-0.625
210,210.0,-13.0,-0.5
211,211.0,-13.0,-0.3125
212,212.0,-13.0,-0.125
213,213.0,-1.0,0.0
214,214.0,-5.0,-0.25
215,215.0,-7.0,0.0
216,216.0,-5.0,0.0625
217,217.0,-15.0,0.4375
218,218.0,-9.0,0.375
219,219.0,-7.0,0.3125
220,220.0,-13.0,0.4375
221,221.0,-13.0,0.4375
222,222.0,-9.0,0.1875
223,223.0,-21.0,0.4375
224,224.0,-13.0,0.0
225,225.0,-7.0,0.0625
226,226.0,-11.0,0.0625
227,227.0,-13.0,0.125
228,228.0,-15.0,0.3125
229,229.0,-15.0,0.25
230,230.0,-7.0,0.0625
231,231.0,-13.0,0.375
232,232.0,-13.0,0.3125
233,233.0,-15.0,0.3125
234,234.0,-11.0,0.375
235,235.0,-11.0,0.0625
236,236.0,-15.0,0.3125
237,237.0,-11.0,0.1875
238,238.0,-15.0,0.4375
239,239.0,-17.0,0.5625
240,240.0,-15.0,0.3125
241,241.0,-15.0,0.3125
242,242.0,-13.0,0.375
243,243.0,-7.0,0.125
244,244.0,-17.0,0.375
245,245.0,-19.0,0.5
246,246.0,-13.0,0.4375
247,247.0,-17.0,0.5625
248,248.0,-9.0,0.375
249,249.0,-13.0,0.25
250,250.0,-13.0,0.4375
251,251.0,-17.0,0.6875
252,252.0,-3.0,0.25
253,253.0,-9.0,0.125
254,254.0,-11.0,0.0625
255,255.0,-11.0,0.0625
256,256.0,-15.0,-0.0625
257,257.0,-9.0,0.1875
258,258.0,-3.0,0.125
259,259.0,-7.0,-0.0625
260,260.0,-9.0,0.1875
261,261.0,-5.0,0.1875
262,262.0,-21.0,0.6875
263,263.0,-15.0,0.4375
264,264.0,-9.0,0.1875
265,265.0,-19.0,-0.125
266,266.0,-17.0,-0.125
