,n_step,energy,average_magnetization
0,0.0,-43.0,0.015
1,1.0,-49.0,-0.06
2,2.0,-73.0,-0.025
3,3.0,-31.0,-0.035
4,4.0,-27.0,-0.01
5,5.0,-13.0,0.0
6,6.0,-69.0,0.055
7,7.0,-1.0,-0.035
8,8.0,-23.0,-0.07
9,9.0,-51.0,-0.055
10,10.0,-65.0,0.005
11,11.0,-25.0,-0.115
12,12.0,-41.0,0.04
13,13.0,-61.0,0.07
14,14.0,-33.0,0.09
15,15.0,-25.0,0.0
16,16.0,-29.0,0.01
17,17.0,-53.0,0.025
18,18.0,-29.0,0.09
19,19.0,-59.0,-0.02
20,20.0,-55.0,0.07
21,21.0,-43.0,-0.01
22,22.0,-19.0,0.08
23,23.0,-65.0,-0.045
24,24.0,-45.0,-0.035
25,25.0,-57.0,0.005
26,26.0,-69.0,-0.14
27,27.0,-43.0,-0.05
28,28.0,-35.0,-0.09
29,29.0,-29.0,-0.09
30,30.0,-75.0,-0.045
31,31.0,-55.0,-0.055
32,32.0,-17.0,0.055
33,33.0,-41.0,0.075
34,34.0,-43.0,0.005
35,35.0,-97.0,-0.075
36,36.0,-61.0,0.025
37,37.0,-49.0,-0.105
38,38.0,-61.0,-0.02
39,39.0,-53.0,-0.01
40,40.0,-21.0,-0.015
41,41.0,-75.0,0.005
42,42.0,-31.0,0.075
43,43.0,-57.0,-0.045
44,44.0,-49.0,0.0
45,45.0,-47.0,0.005
46,46.0,-51.0,0.055
47,47.0,-31.0,-0.02
48,48.0,-35.0,0.025
49,49.0,-41.0,0.035
50,50.0,-29.0,0.03
51,51.0,-19.0,-0.08
52,52.0,-67.0,-0.125
53,53.0,-45.0,-0.035
54,54.0,-77.0,-0.01
55,55.0,-67.0,-0.01
56,56.0,-29.0,0.005
57,57.0,-49.0,0.08
58,58.0,-43.0,0.075
59,59.0,-69.0,0.035
60,60.0,-43.0,0.01
61,61.0,-43.0,-0.065
62,62.0,-59.0,-0.075
63,63.0,-25.0,-0.045
64,64.0,-55.0,-0.04
65,65.0,-63.0,-0.02
66,66.0,-77.0,-0.01
67,67.0,-79.0,0.04
68,68.0,-45.0,0.03
69,69.0,-57.0,-0.055
70,70.0,-51.0,-0.08
71,71.0,-53.0,-0.105
72,72.0,-35.0,-0.04
73,73.0,-51.0,-0.095
74,74.0,-51.0,-0.045
75,75.0,-25.0,-0.06
76,76.0,-19.0,0.015
77,77.0,-47.0,0.02
78,78.0,-27.0,-0.04
79,79.0,-53.0,-0.035
80,80.0,-15.0,-0.03
81,81.0,-35.0,-0.01
82,82.0,-83.0,-0.04
83,83.0,-23.0,-0.01
84,84.0,-13.0,-0.02
85,85.0,-29.0,-0.055
86,86.0,-13.0,0.04
87,87.0,-19.0,-0.01
88,88.0,-51.0,0.045
89,89.0,-41.0,0.1
90,90.0,-37.0,0.03
91,91.0,-23.0,-0.045
92,92.0,-25.0,-0.12
93,93.0,-33.0,0.03
94,94.0,-47.0,-0.03
95,95.0,-45.0,-0.085
96,96.0,-67.0,-0.03
97,97.0,-23.0,0.02
98,98.0,-63.0,-0.1
99,99.0,-49.0,0.04
100,100.0,-57.0,-0.105
101,101.0,-19.0,-0.06
102,102.0,-51.0,0.125
103,103.0,-47.0,0.11
104,104.0,-53.0,0.0
105,105.0,-43.0,0.02
106,106.0,-57.0,-0.025
107,107.0,-27.0,0.0
108,108.0,-17.0,0.04
109,109.0,-51.0,0.045
110,110.0,-39.0,0.05
111,111.0,-75.0,0.01
112,112.0,-25.0,-0.045
113,113.0,-71.0,0.03
114,114.0,-73.0,-0.015
115,115.0,-47.0,-0.055
116,116.0,-25.0,0.03
117,117.0,-39.0,-0.04
118,118.0,-103.0,0.005
119,119.0,-45.0,-0.03
120,120.0,-63.0,0.035
121,121.0,-41.0,0.07
122,122.0,-43.0,0.06
123,123.0,-11.0,0.045
124,124.0,-35.0,-0.02
125,125.0,-73.0,-0.1
126,126.0,-43.0,-0.015
127,127.0,-17.0,0.07
128,128.0,-49.0,-0.01
129,129.0,-43.0,-0.005
130,130.0,-31.0,0.01
131,131.0,-31.0,-0.125
132,132.0,-9.0,0.0
133,133.0,-33.0,0.03
134,134.0,-71.0,0.005
135,135.0,-35.0,-0.025
136,136.0,-93.0,-0.105
137,137.0,-55.0,-0.07
138,138.0,-37.0,0.02
139,139.0,-69.0,0.045
140,140.0,-67.0,0.11
141,141.0,-67.0,0.025
142,142.0,-43.0,-0.03
143,143.0,-59.0,0.025
144,144.0,-67.0,0.055
145,145.0,-45.0,0.03
146,146.0,-39.0,0.075
147,147.0,-31.0,0.02
148,148.0,-43.0,0.0
149,149.0,-73.0,0.045
150,150.0,-79.0,0.03
151,151.0,-11.0,0.125
152,152.0,-65.0,-0.05
153,153.0,-49.0,-0.03
154,154.0,-41.0,-0.045
155,155.0,-55.0,-0.025
156,156.0,-27.0,-0.065
157,157.0,-79.0,0.005
158,158.0,-65.0,0.01
159,159.0,-65.0,-0.095
160,160.0,-41.0,0.01
161,161.0,-59.0,-0.085
162,162.0,-77.0,-0.04
163,163.0,-17.0,0.02
164,164.0,-51.0,-0.11
165,165.0,-39.0,-0.06
166,166.0,-65.0,-0.025
167,167.0,-51.0,-0.15
168,168.0,-13.0,-0.055
169,169.0,-51.0,-0.035
170,170.0,-23.0,0.04
171,171.0,-41.0,0.045
172,172.0,-25.0,0.055
173,173.0,-41.0,-0.1
174,174.0,-17.0,-0.01
175,175.0,-63.0,-0.04
176,176.0,-57.0,0.0
177,177.0,-43.0,0.045
178,178.0,-15.0,-0.03
179,179.0,-43.0,0.04
180,180.0,-45.0,-0.055
181,181.0,-47.0,0.055
182,182.0,-33.0,-0.015
183,183.0,-59.0,0.04
184,184.0,-27.0,0.02
185,185.0,-43.0,-0.065
186,186.0,-11.0,-0.045
187,187.0,-35.0,0.03
188,188.0,-59.0,-0.04
189,189.0,-23.0,0.08
190,190.0,-35.0,0.025
191,191.0,-35.0,-0.055
192,192.0,-41.0,0.03
193,193.0,-55.0,0.12
194,194.0,-53.0,-0.04
195,195.0,-59.0,-0.045
196,196.0,-17.0,0.045
197,197.0,-27.0,0.03
198,198.0,-33.0,0.07
199,199.0,-39.0,-0.07
200,200.0,-59.0,0.1
201,201.0,-63.0,-0.05
202,202.0,1.0,-0.025
203,203.0,-49.0,-0.08
204,204.0,-81.0,-0.05
205,205.0,-59.0,0.035
206,206.0,-33.0,-0.045
207,207.0,-47.0,-0.015
208,208.0,-53.0,-0.015
209,209.0,-65.0,-0.08
210,210.0,-93.0,0.045
211,211.0,-59.0,0.04
212,212.0,-23.0,-0.035
213,213.0,-23.0,-0.035
214,214.0,-21.0,-0.03
215,215.0,5.0,0.02
216,216.0,-31.0,0.005
217,217.0,-27.0,-0.06
218,218.0,-29.0,-0.105
219,219.0,-55.0,-0.085
220,220.0,-61.0,-0.08
221,221.0,-53.0,-0.09
222,222.0,-53.0,-0.075
223,223.0,-73.0,-0.005
224,224.0,-23.0,-0.08
225,225.0,-7.0,-0.065
226,226.0,-33.0,-0.015
227,227.0,-35.0,0.055
228,228.0,-31.0,0.035
229,229.0,-19.0,0.06
230,230.0,-39.0,0.025
231,231.0,-33.0,0.05
232,232.0,-1.0,0.01
233,233.0,-51.0,-0.05
234,234.0,-31.0,0.025
235,235.0,-61.0,0.045
236,236.0,-65.0,0.005
237,237.0,-99.0,0.035
238,238.0,-81.0,-0.05
239,239.0,-45.0,0.0
240,240.0,-67.0,-0.02
241,241.0,-25.0,0.0
242,242.0,-69.0,0.015
243,243.0,-63.0,-0.005
244,244.0,-19.0,-0.045
245,245.0,-45.0,-0.085
246,246.0,-87.0,-0.035
247,247.0,-45.0,-0.035
248,248.0,-33.0,-0.005
249,249.0,-57.0,0.11
250,250.0,-67.0,0.09
251,251.0,-57.0,0.055
252,252.0,-29.0,0.015
253,253.0,-51.0,0.02
254,254.0,-31.0,-0.005
255,255.0,-81.0,0.06
256,256.0,-15.0,0.11
257,257.0,-35.0,0.045
258,258.0,-33.0,0.01
259,259.0,-35.0,0.025
260,260.0,-81.0,-0.075
261,261.0,-61.0,-0.105
262,262.0,-47.0,-0.08
263,263.0,-35.0,-0.06
264,264.0,-67.0,0.03
265,265.0,-59.0,0.01
266,266.0,-71.0,-0.03
267,267.0,-55.0,-0.085
268,268.0,-43.0,-0.045
269,269.0,-31.0,-0.01
270,270.0,-59.0,0.06
271,271.0,-57.0,0.06
