degree,eigenvalue,mean_density
10,10.0,0.00017450484250937964
10,11.0,0.0
10,12.0,0.0
10,13.0,0.0
10,14.0,0.0
10,15.0,0.0
10,16.0,0.0
10,17.0,0.0
10,18.0,0.0
10,19.0,0.0
10,20.0,0.0
10,21.0,0.0
10,22.0,0.0
10,23.0,0.0
10,24.0,0.0
10,25.0,0.0
10,26.0,0.0
10,27.0,0.0
10,28.0,0.0
10,29.0,0.0
11,10.0,0.12284931506849317
11,11.0,0.030084507042253524
11,12.0,0.0022686567164179106
11,13.0,0.00013559322033898305
11,14.0,0.0
11,15.0,0.0
11,16.0,0.0002
11,17.0,0.0
11,18.0,0.0
11,19.0,0.0
11,20.0,0.0
11,21.0,0.0
11,22.0,0.0
11,23.0,0.0
11,24.0,0.0
11,25.0,0.0
11,26.0,0.0
11,27.0,0.0
11,28.0,0.0
11,29.0,0.0
12,10.0,0.056841442292552356
12,11.0,0.1387404889104743
12,12.0,0.06913707325441758
12,13.0,0.010325345801675434
12,14.0,0.003908045977011494
12,15.0,0.0
12,16.0,0.00028735632183908046
12,17.0,0.00031065548306927616
12,18.0,0.0
12,19.0,0.0
12,20.0,0.0
12,21.0,0.0
12,22.0,0.0
12,23.0,0.0
12,24.0,0.0
12,25.0,0.0
12,26.0,0.0
12,27.0,0.0
12,28.0,0.0
12,29.0,0.0
13,10.0,0.0009589041095890412
13,11.0,0.03408450704225351
13,12.0,0.10432835820895522
13,13.0,0.08389830508474574
13,14.0,0.0386
13,15.0,0.006304347826086958
13,16.0,0.012
13,17.0,0.0045945945945945945
13,18.0,0.0012903225806451613
13,19.0,0.0007142857142857143
13,20.0,0.0
13,21.0,0.0
13,22.0,0.0
13,23.0,0.0
13,24.0,0.0
13,25.0,0.0
13,26.0,0.0
13,27.0,0.0
13,28.0,0.0
13,29.0,0.0
14,10.0,0.0
14,11.0,0.0017072129748186087
14,12.0,0.017639077340569877
14,13.0,0.0780688238315357
14,14.0,0.0866666666666667
14,15.0,0.04808959156785243
14,16.0,0.05227272727272727
14,17.0,0.015970515970515967
14,18.0,0.004887585532746823
14,19.0,0.007034632034632034
14,20.0,0.0
14,21.0,0.0036075036075036075
14,22.0,0.0008912655971479501
14,23.0,0.0
14,24.0,0.0
14,25.0,0.0
14,26.0,0.0
14,27.0,0.0
14,28.0,0.0
14,29.0,0.0
15,10.0,0.0
15,11.0,0.0
15,12.0,0.002321724709784411
15,13.0,0.026741996233521657
15,14.0,0.050666666666666665
15,15.0,0.0893719806763285
15,16.0,0.08222222222222222
15,17.0,0.01921921921921922
15,18.0,0.015770609318996414
15,19.0,0.023015873015873014
15,20.0,0.0031746031746031746
15,21.0,0.004232804232804233
15,22.0,0.0013071895424836603
15,23.0,0.0
15,24.0,0.0022222222222222222
15,25.0,0.0047619047619047615
15,26.0,0.0015873015873015873
15,27.0,0.0
15,28.0,0.0
15,29.0,0.0
16,10.0,0.0
16,11.0,0.0
16,12.0,0.0019053667831057477
16,13.0,0.009736747205192933
16,14.0,0.02212765957446808
16,15.0,0.08556891766882514
16,16.0,0.05
16,17.0,0.04485336400230017
16,18.0,0.04529855868222375
16,19.0,0.067629179331307
16,20.0,0.007598784194528876
16,21.0,0.013171225937183385
16,22.0,0.0050062578222778474
16,23.0,0.007598784194528876
16,24.0,0.014893617021276595
16,25.0,0.019756838905775075
16,26.0,0.0182370820668693
16,27.0,0.01276595744680851
16,28.0,0.0
16,29.0,0.0
17,10.0,0.0
17,11.0,0.0
17,12.0,0.0010660980810234541
17,13.0,0.003228410008071025
17,14.0,0.010476190476190477
17,15.0,0.05124223602484472
17,16.0,0.018452380952380953
17,17.0,0.07335907335907334
17,18.0,0.07987711213517665
17,19.0,0.06717687074829931
17,20.0,0.007653061224489796
17,21.0,0.020408163265306117
17,22.0,0.025210084033613443
17,23.0,0.013605442176870748
17,24.0,0.023809523809523808
17,25.0,0.027210884353741496
17,26.0,0.03571428571428571
17,27.0,0.019047619047619046
17,28.0,0.0
17,29.0,0.0
18,10.0,0.0
18,11.0,0.0
18,12.0,0.0
18,13.0,0.0006277463904582548
18,14.0,0.011111111111111112
18,15.0,0.01610305958132045
18,16.0,0.01388888888888889
18,17.0,0.10510510510510511
18,18.0,0.057347670250896064
18,19.0,0.06878306878306878
18,20.0,0.022486772486772482
18,21.0,0.02821869488536155
18,22.0,0.037037037037037035
18,23.0,0.0291005291005291
18,24.0,0.01111111111111111
18,25.0,0.07407407407407408
18,26.0,0.06878306878306878
18,27.0,0.03333333333333333
18,28.0,0.0
18,29.0,0.004115226337448559
19,10.0,0.0
19,11.0,0.0
19,12.0,0.0
19,13.0,0.0030816640986132513
19,14.0,0.0030303030303030303
19,15.0,0.013175230566534912
19,16.0,0.011363636363636364
19,17.0,0.0647010647010647
19,18.0,0.07917888563049852
19,19.0,0.05735930735930735
19,20.0,0.05194805194805195
19,21.0,0.06493506493506494
19,22.0,0.058823529411764705
19,23.0,0.04112554112554112
19,24.0,0.03333333333333333
19,25.0,0.10173160173160174
19,26.0,0.025974025974025976
19,27.0,0.03636363636363636
19,28.0,0.0030303030303030303
19,29.0,0.010101010101010102
20,10.0,0.0
20,11.0,0.0
20,12.0,0.0
20,13.0,0.0013037809647979141
20,14.0,0.0007692307692307692
20,15.0,0.006688963210702342
20,16.0,0.007692307692307693
20,17.0,0.034303534303534305
20,18.0,0.04838709677419356
20,19.0,0.0260989010989011
20,20.0,0.09065934065934066
20,21.0,0.08974358974358976
20,22.0,0.04524886877828055
20,23.0,0.06043956043956044
20,24.0,0.0653846153846154
20,25.0,0.11263736263736265
20,26.0,0.019230769230769235
20,27.0,0.015384615384615385
20,28.0,0.0038461538461538464
20,29.0,0.017094017094017096
21,10.0,0.0
21,11.0,0.0
21,12.0,0.0
21,13.0,0.0
21,14.0,0.0
21,15.0,0.0024154589371980675
21,16.0,0.005555555555555555
21,17.0,0.028028028028028028
21,18.0,0.04301075268817204
21,19.0,0.01455026455026455
21,20.0,0.14947089947089945
21,21.0,0.07407407407407407
21,22.0,0.06318082788671023
21,23.0,0.05555555555555556
21,24.0,0.059259259259259255
21,25.0,0.06613756613756613
21,26.0,0.03968253968253969
21,27.0,0.029629629629629627
21,28.0,0.01111111111111111
21,29.0,0.008230452674897118
22,10.0,0.0
22,11.0,0.0
22,12.0,0.0
22,13.0,0.0
22,14.0,0.0
22,15.0,0.0014492753623188406
22,16.0,0.0016666666666666666
22,17.0,0.012612612612612612
22,18.0,0.01935483870967742
22,19.0,0.03809523809523809
22,20.0,0.11666666666666667
22,21.0,0.07936507936507937
22,22.0,0.07450980392156863
22,23.0,0.07142857142857142
22,24.0,0.07333333333333333
22,25.0,0.047619047619047616
22,26.0,0.03809523809523809
22,27.0,0.039999999999999994
22,28.0,0.026666666666666665
22,29.0,0.02962962962962963
23,10.0,0.0
23,11.0,0.0
23,12.0,0.0
23,13.0,0.0016949152542372883
23,14.0,0.0
23,15.0,0.0
23,16.0,0.0
23,17.0,0.005405405405405406
23,18.0,0.009677419354838712
23,19.0,0.014285714285714287
23,20.0,0.09285714285714287
23,21.0,0.1
23,22.0,0.0411764705882353
23,23.0,0.028571428571428574
23,24.0,0.01
23,25.0,0.014285714285714287
23,26.0,0.05
23,27.0,0.12
23,28.0,0.04
23,29.0,0.022222222222222223
