degree,eigenvalue,mean_density
10,10.0,0.0007741935483870968
10,11.0,0.0
10,12.0,0.0
10,13.0,0.0
10,14.0,0.0
10,15.0,0.0
10,16.0,0.0
10,17.0,0.0
10,18.0,0.0
10,19.0,0.0
10,20.0,0.0
10,21.0,0.0
10,22.0,0.0
10,23.0,0.0
10,24.0,0.0
10,25.0,0.0
10,26.0,0.0
10,27.0,0.0
10,28.0,0.0
10,29.0,0.0
10,30.0,0.0
10,31.0,0.0
10,32.0,0.0
10,33.0,0.0
10,34.0,0.0
10,35.0,0.0
10,36.0,0.0
10,37.0,0.0
10,38.0,0.0
10,39.0,0.0
10,40.0,0.0
11,10.0,0.1231372549019608
11,11.0,0.01964903608502224
11,12.0,0.0015513897866839042
11,13.0,0.00043465662126919734
11,14.0,0.0
11,15.0,0.0
11,16.0,0.0
11,17.0,0.0
11,18.0,0.0
11,19.0,0.0
11,20.0,0.0
11,21.0,0.0
11,22.0,0.0
11,23.0,0.0
11,24.0,0.0
11,25.0,0.0
11,26.0,0.0
11,27.0,0.0
11,28.0,0.0
11,29.0,0.0
11,30.0,0.0
11,31.0,0.0
11,32.0,0.0
11,33.0,0.0
11,34.0,0.0
11,35.0,0.0
11,36.0,0.0
11,37.0,0.0
11,38.0,0.0
11,39.0,0.0
11,40.0,0.0
12,10.0,0.05513888888888889
12,11.0,0.14123774509803924
12,12.0,0.07532051282051283
12,13.0,0.023168103448275867
12,14.0,0.001572327044025157
12,15.0,0.0008680555555555555
12,16.0,0.00028153153153153153
12,17.0,0.0005341880341880341
12,18.0,0.0
12,19.0,0.0
12,20.0,0.0
12,21.0,0.0
12,22.0,0.0
12,23.0,0.0
12,24.0,0.0
12,25.0,0.0
12,26.0,0.0
12,27.0,0.0
12,28.0,0.0
12,29.0,0.0
12,30.0,0.0
12,31.0,0.0
12,32.0,0.0
12,33.0,0.0
12,34.0,0.0
12,35.0,0.0
12,36.0,0.0
12,37.0,0.0
12,38.0,0.0
12,39.0,0.0
12,40.0,0.0
13,10.0,0.0011522633744855966
13,11.0,0.04302832244008715
13,12.0,0.10161443494776828
13,13.0,0.09621115368241805
13,14.0,0.026554856743535984
13,15.0,0.017746913580246913
13,16.0,0.00667334000667334
13,17.0,0.0028490028490028487
13,18.0,0.00039824771007566706
13,19.0,0.0033238366571699905
13,20.0,0.0
13,21.0,0.0
13,22.0,0.0
13,23.0,0.0
13,24.0,0.0
13,25.0,0.0
13,26.0,0.0
13,27.0,0.0
13,28.0,0.0
13,29.0,0.0
13,30.0,0.0
13,31.0,0.0
13,32.0,0.0
13,33.0,0.0
13,34.0,0.0
13,35.0,0.0
13,36.0,0.0
13,37.0,0.0
13,38.0,0.0
13,39.0,0.0
