,step,rho
0,0,0.4898989898989899
1,0,0.40404040404040403
2,1,0.35353535353535354
3,2,0.37626262626262624
4,3,0.3181818181818182
5,4,0.3055555555555556
6,5,0.2702020202020202
7,6,0.27525252525252525
8,7,0.2222222222222222
9,8,0.2676767676767677
10,9,0.2474747474747475
11,10,0.20707070707070707
12,11,0.2297979797979798
13,12,0.17929292929292928
14,13,0.22474747474747475
15,14,0.12373737373737374
16,15,0.14393939393939395
17,16,0.15404040404040403
18,17,0.08333333333333333
19,18,0.03535353535353535
20,19,0.03282828282828283
21,20,0.05555555555555555
22,21,0.11868686868686869
23,22,0.09595959595959595
24,23,0.08838383838383838
25,24,0.16414141414141414
26,25,0.07575757575757576
27,26,0.050505050505050504
28,27,0.025252525252525252
29,28,0.027777777777777776
30,29,0.04040404040404041
31,30,0.020202020202020204
32,31,0.06565656565656566
33,32,0.11616161616161616
34,33,0.08585858585858586
35,34,0.11363636363636363
36,35,0.13383838383838384
37,36,0.20959595959595959
38,37,0.18434343434343434
39,38,0.18686868686868688
40,39,0.16666666666666666
41,40,0.16161616161616163
42,41,0.20202020202020202
43,42,0.2398989898989899
44,43,0.25
45,44,0.22474747474747475
46,45,0.23484848484848486
47,46,0.21212121212121213
48,47,0.18686868686868688
49,48,0.18434343434343434
50,49,0.17424242424242425
51,50,0.14898989898989898
52,51,0.22727272727272727
53,52,0.1893939393939394
54,53,0.2702020202020202
55,54,0.26262626262626265
56,55,0.2196969696969697
57,56,0.1919191919191919
58,57,0.3434343434343434
59,58,0.3813131313131313
60,59,0.3434343434343434
61,60,0.39141414141414144
62,61,0.3838383838383838
63,62,0.34595959595959597
64,63,0.3686868686868687
65,64,0.3813131313131313
66,65,0.3611111111111111
67,66,0.3383838383838384
68,67,0.3005050505050505
69,68,0.3106060606060606
70,69,0.2297979797979798
71,70,0.21212121212121213
72,71,0.24494949494949494
73,72,0.21717171717171718
74,73,0.19696969696969696
75,74,0.1919191919191919
76,75,0.2676767676767677
77,76,0.3055555555555556
78,77,0.3055555555555556
79,78,0.2676767676767677
80,79,0.2196969696969697
81,80,0.15151515151515152
82,81,0.20202020202020202
83,82,0.2196969696969697
84,83,0.2676767676767677
85,84,0.33585858585858586
86,85,0.35353535353535354
87,86,0.3207070707070707
88,87,0.3106060606060606
89,88,0.22474747474747475
90,89,0.14646464646464646
91,90,0.15151515151515152
92,91,0.18181818181818182
93,92,0.17424242424242425
94,93,0.1414141414141414
95,94,0.1111111111111111
96,95,0.11363636363636363
97,96,0.09343434343434344
98,97,0.05555555555555555
99,98,0.017676767676767676
100,99,0.010101010101010102
101,100,0.010101010101010102
102,101,0.010101010101010102
103,102,0.012626262626262626
104,103,0.005050505050505051
105,104,0.0
106,105,0.0
107,106,0.0
108,107,0.0
109,108,0.0
110,109,0.0
111,110,0.0
112,111,0.0
113,112,0.0
114,113,0.0
115,114,0.0
116,115,0.0
117,116,0.0
118,117,0.0
119,118,0.0
120,119,0.0
121,120,0.0
122,121,0.0
123,122,0.0
124,123,0.0
125,124,0.0
126,125,0.0
127,126,0.0
128,127,0.0
129,128,0.0
130,129,0.0
131,130,0.0
132,131,0.0
133,132,0.0
134,133,0.0
135,134,0.0
136,135,0.0
137,136,0.0
138,137,0.0
139,138,0.0
140,139,0.0
141,140,0.0
142,141,0.0
143,142,0.0
144,143,0.0
145,144,0.0
146,145,0.0
147,146,0.0
148,147,0.0
149,148,0.0
150,149,0.0
151,150,0.0
152,151,0.0
153,152,0.0
154,153,0.0
155,154,0.0
156,155,0.0
157,156,0.0
158,157,0.0
159,158,0.0
160,159,0.0
161,160,0.0
162,161,0.0
163,162,0.0
164,163,0.0
165,164,0.0
166,165,0.0
167,166,0.0
168,167,0.0
169,168,0.0
170,169,0.0
171,170,0.0
172,171,0.0
173,172,0.0
174,173,0.0
175,174,0.0
176,175,0.0
177,176,0.0
178,177,0.0
179,178,0.0
180,179,0.0
181,180,0.0
182,181,0.0
183,182,0.0
184,183,0.0
185,184,0.0
186,185,0.0
187,186,0.0
188,187,0.0
189,188,0.0
190,189,0.0
191,190,0.0
192,191,0.0
193,192,0.0
194,193,0.0
195,194,0.0
196,195,0.0
197,196,0.0
198,197,0.0
199,198,0.0
200,199,0.0
201,200,0.0
202,201,0.0
203,202,0.0
204,203,0.0
205,204,0.0
206,205,0.0
207,206,0.0
208,207,0.0
209,208,0.0
210,209,0.0
211,210,0.0
212,211,0.0
213,212,0.0
214,213,0.0
215,214,0.0
216,215,0.0
217,216,0.0
218,217,0.0
219,218,0.0
220,219,0.0
221,220,0.0
222,221,0.0
223,222,0.0
224,223,0.0
225,224,0.0
226,225,0.0
227,226,0.0
228,227,0.0
229,228,0.0
230,229,0.0
231,230,0.0
232,231,0.0
233,232,0.0
234,233,0.0
235,234,0.0
236,235,0.0
237,236,0.0
238,237,0.0
239,238,0.0
240,239,0.0
241,240,0.0
242,241,0.0
243,242,0.0
244,243,0.0
245,244,0.0
246,245,0.0
247,246,0.0
248,247,0.0
249,248,0.0
250,249,0.0
