nodeID_from,nodeID_to
1,2
2,17
2,18
2,19
2,20
2,21
3,4
3,5
3,6
4,5
4,6
5,6
5,85
6,159
6,151
7,8
7,9
7,10
7,11
7,12
7,13
7,14
8,11
8,13
9,15
9,144
9,10
9,12
10,11
10,12
11,154
12,142
12,144
12,175
13,175
14,34
14,35
15,16
16,88
18,94
18,87
18,115
18,95
18,20
18,96
18,97
18,98
19,146
19,85
20,105
21,86
21,161
21,193
22,23
22,24
22,25
22,26
23,27
23,28
23,26
23,29
24,28
24,25
24,188
25,26
26,28
26,83
26,29
27,75
27,28
27,29
28,38
28,83
28,29
29,74
29,76
29,83
30,31
30,32
30,33
31,32
31,33
32,33
34,35
36,37
36,38
38,148
39,40
40,79
40,80
40,81
40,162
40,67
41,42
41,43
41,44
41,45
41,46
41,47
41,48
41,49
41,50
41,51
41,52
41,53
41,54
41,55
42,56
42,44
42,45
42,46
42,47
42,48
42,49
42,50
42,51
42,52
42,53
42,54
43,57
43,46
43,58
43,50
43,59
43,54
43,55
43,60
43,61
44,45
44,46
44,47
44,49
44,50
44,51
44,52
44,53
44,54
45,46
45,47
45,49
45,50
45,52
45,53
45,54
46,58
46,48
46,50
46,59
46,53
46,54
46,55
47,163
47,50
47,52
47,53
48,146
48,104
48,58
48,49
48,50
48,51
48,107
48,168
48,53
48,54
49,103
49,146
49,58
49,181
49,50
49,107
49,52
49,53
50,167
50,51
50,150
50,52
50,53
50,54
50,55
51,84
51,89
51,90
51,58
51,53
51,54
52,58
52,53
52,54
52,189
53,146
53,58
53,167
53,168
53,54
54,58
54,55
55,57
55,58
55,59
55,60
55,61
55,189
57,123
57,59
57,60
57,61
58,150
59,84
59,60
59,61
60,156
60,157
60,61
62,63
62,64
62,65
62,66
62,67
63,64
63,65
63,129
63,130
63,131
63,132
63,133
64,65
64,130
64,66
64,133
65,66
65,162
66,132
66,133
67,79
67,80
67,132
68,69
68,70
68,71
68,72
68,73
68,74
69,73
69,74
70,145
70,72
70,148
71,136
71,158
71,72
71,74
71,76
71,148
72,89
72,148
73,136
73,147
73,156
73,74
73,157
74,136
74,147
74,76
74,148
74,83
75,76
76,136
76,148
77,78
78,106
78,173
79,80
79,81
80,166
80,81
81,174
81,170
82,83
83,136
83,148
85,168
86,87
87,92
88,155
89,90
89,91
90,134
91,158
91,180
92,93
92,94
92,95
92,96
92,97
92,98
93,95
93,109
93,96
93,97
93,98
93,110
93,111
94,112
94,95
94,96
94,97
94,98
95,112
95,96
95,97
95,98
96,115
96,97
96,98
97,115
97,98
98,115
99,100
99,101
99,102
100,115
101,102
102,192
103,104
103,105
103,106
103,107
103,108
104,146
105,106
105,108
106,169
107,113
107,146
109,160
109,110
110,183
111,112
111,125
112,124
112,125
113,114
114,126
116,117
116,118
116,119
116,120
117,121
117,120
117,122
118,127
118,128
119,135
120,121
120,182
121,135
121,136
121,127
121,137
121,138
121,131
121,122
121,139
121,140
121,133
122,138
122,182
123,134
124,125
127,135
127,136
127,137
127,138
127,131
127,139
127,140
127,133
128,164
129,164
129,165
130,137
130,132
130,133
131,135
131,136
131,137
131,138
131,165
131,139
131,140
131,133
132,170
132,176
133,135
133,136
133,147
133,137
133,138
133,176
133,139
133,140
133,157
135,136
135,137
135,138
135,139
135,140
136,147
136,137
136,138
136,148
136,139
137,138
137,139
137,140
138,139
138,140
139,147
140,147
140,157
141,142
141,143
144,153
147,156
147,157
149,150
149,151
149,152
150,159
151,152
152,191
153,154
153,155
156,170
156,157
157,176
158,177
158,180
160,161
162,186
163,171
163,181
167,168
170,176
171,172
177,178
177,179
178,187
179,190
180,187
183,193
184,185
190,191
