nodeID_from,nodeID_to
27,120
120,602
71,72
71,939
71,1124
72,417
72,939
72,945
72,1124
939,712
939,1027
939,1124
1124,584
417,301
417,945
945,608
74,108
74,165
74,1270
108,80
1270,978
1270,1267
80,81
84,88
88,156
88,224
156,711
156,712
224,241
119,327
119,608
327,344
327,608
602,366
711,527
711,712
275,285
285,318
318,408
318,766
301,1273
1273,466
1273,1148
306,317
306,897
306,978
306,1017
317,718
897,739
897,876
408,1058
766,527
344,548
548,1119
366,379
366,1277
379,1148
1148,466
1058,781
434,454
434,817
454,876
817,475
876,739
466,1267
584,1032
1032,788
781,788
