nodeID_from,nodeID_to
1,2
1,3
3,50
4,5
5,59
5,88
5,139
6,7
6,8
6,9
6,10
6,11
6,12
8,65
9,49
9,85
9,11
10,74
10,88
11,163
11,165
12,158
13,14
13,15
15,136
16,17
17,82
17,99
17,100
17,156
18,19
19,20
20,50
20,113
21,22
21,23
22,36
23,75
24,25
24,26
24,27
26,27
27,35
27,84
28,29
28,30
29,31
29,32
30,119
30,161
31,112
32,134
33,34
34,35
35,142
37,38
38,39
39,93
39,144
40,41
40,42
41,76
42,153
43,44
44,47
44,48
45,46
46,49
47,59
47,103
48,108
48,129
48,109
48,106
48,110
49,85
50,51
51,99
52,53
52,54
53,81
54,97
54,119
54,129
55,56
56,70
56,72
57,58
58,86
59,60
60,104
60,168
61,62
61,63
62,64
63,88
64,89
65,66
66,73
66,74
67,68
67,69
67,70
67,71
67,72
68,79
68,71
68,72
69,100
69,109
69,95
69,110
70,80
70,93
70,96
70,71
71,80
71,101
71,93
71,96
71,157
73,122
74,88
75,76
77,78
78,98
79,80
80,95
80,96
81,90
82,83
83,143
84,162
86,87
87,149
88,120
88,139
89,132
90,91
91,107
92,93
92,94
94,115
94,107
94,117
98,121
98,122
98,123
99,100
99,101
99,102
100,101
100,102
100,109
100,127
100,110
101,102
102,143
103,131
103,133
104,105
104,106
105,108
106,108
106,109
106,110
108,109
108,110
108,111
109,110
111,126
111,171
112,145
112,150
113,114
114,172
115,116
115,117
115,118
116,135
117,160
118,137
120,121
124,125
124,126
125,128
126,171
127,171
130,131
130,132
134,135
136,137
137,160
138,139
140,141
140,142
142,166
143,172
144,152
145,146
147,148
147,149
148,167
150,151
151,167
153,154
154,161
155,156
155,157
158,159
159,170
162,163
164,165
164,166
168,169
169,170
