nodeID_from,nodeID_to
1,2
1,3
1,4
2,64
2,4
2,65
3,67
4,92
5,6
5,7
6,40
7,16
7,41
7,30
7,42
8,9
8,10
9,52
10,18
10,69
11,12
11,13
12,53
13,55
14,15
15,16
15,17
16,17
16,38
16,39
16,30
18,19
19,86
20,21
20,22
21,43
21,44
21,45
21,22
22,26
22,39
23,24
23,25
25,26
27,28
27,29
27,30
28,29
28,33
29,49
31,32
31,33
32,34
35,36
36,37
37,46
38,90
38,39
42,92
43,44
43,45
44,45
44,68
45,74
46,47
46,48
47,69
48,70
48,72
50,51
50,52
53,56
54,55
57,58
57,59
57,60
59,80
60,64
61,62
61,63
62,66
65,96
66,67
68,87
68,95
70,71
70,72
71,73
72,77
73,76
74,75
75,82
76,77
76,78
78,87
79,80
79,81
81,82
83,84
84,85
85,86
88,89
89,95
90,91
91,93
93,94
94,99
96,97
97,98
98,99
