nodeID_from,nodeID_to
1,2
1,3
2,29
2,30
2,31
2,28
3,102
4,5
5,45
6,7
6,8
7,12
8,9
9,10
9,11
10,11
11,19
11,86
12,21
12,52
12,63
13,14
13,15
13,16
15,88
15,27
16,58
17,18
18,19
20,21
22,23
22,24
23,48
23,57
24,33
24,102
25,26
25,27
26,28
27,88
27,66
27,99
29,30
29,66
29,31
30,31
31,62
31,100
32,33
34,35
34,36
34,37
34,38
34,39
35,40
35,42
36,37
36,71
36,38
36,39
37,93
37,38
37,39
38,95
38,39
39,53
40,41
41,59
41,82
42,70
43,44
43,45
45,56
46,47
46,48
47,49
49,58
50,51
51,52
53,54
54,55
55,56
56,61
59,60
60,94
61,62
63,64
63,65
66,98
66,99
67,68
67,69
68,70
69,95
69,96
69,97
69,101
72,73
72,74
72,75
73,91
74,80
74,75
75,76
75,92
75,78
76,77
76,78
78,91
79,80
79,81
79,82
81,82
83,84
83,85
84,87
84,85
85,99
86,87
89,90
90,93
91,100
95,96
95,97
96,97
