nodeID_from,nodeID_to
1,2
1,3
2,178
2,179
2,180
3,212
4,5
4,6
4,7
5,98
5,99
5,152
6,223
8,9
8,10
8,11
8,12
8,13
9,10
9,221
10,92
10,93
10,155
10,94
10,95
10,197
10,11
10,12
10,13
11,12
11,246
11,13
12,139
12,13
13,195
13,196
13,197
14,15
16,17
16,18
16,19
17,91
18,25
18,115
18,91
19,27
20,21
20,22
20,23
20,24
21,22
21,23
22,23
23,91
24,27
26,27
28,29
29,30
29,31
29,32
29,33
30,55
30,32
31,130
31,188
31,32
31,180
31,48
31,33
31,200
32,55
32,168
32,170
32,33
33,265
33,260
34,35
36,37
36,38
37,51
37,125
37,126
37,38
37,117
38,51
38,166
38,91
38,247
39,40
40,125
41,42
42,56
42,54
42,57
43,44
43,45
43,46
43,47
43,48
43,49
44,159
44,45
45,63
46,153
46,48
46,175
46,49
47,176
48,178
48,191
48,224
48,180
48,175
48,49
48,127
48,236
48,167
49,175
49,201
49,244
50,51
50,52
50,53
50,54
51,118
51,52
51,125
51,117
51,102
51,140
52,118
52,140
53,114
54,272
55,130
55,131
55,132
57,143
58,59
58,60
59,81
59,163
59,252
60,270
61,62
61,63
61,64
61,65
61,66
61,67
61,68
61,69
62,107
62,63
62,108
62,109
62,64
62,111
62,66
62,67
62,122
62,112
62,113
62,68
62,69
63,167
64,106
64,109
64,65
64,111
64,66
64,67
64,122
64,113
64,68
64,69
65,111
65,66
65,67
65,68
65,69
66,67
66,248
66,68
66,69
67,123
67,68
67,69
68,69
69,269
70,71
70,72
70,73
70,74
71,162
71,73
71,74
72,87
73,236
73,74
74,257
74,236
74,276
75,76
75,77
77,105
78,79
78,80
78,81
78,82
78,83
78,84
78,85
78,86
79,80
79,81
79,89
79,90
79,85
79,86
80,81
80,82
80,85
80,86
81,164
81,195
81,196
81,197
81,82
81,216
81,177
81,217
81,85
81,218
81,86
82,216
82,229
82,86
83,237
84,233
85,86
86,217
86,218
87,88
88,106
88,110
88,112
88,113
91,247
92,93
92,94
92,95
92,96
92,97
93,116
93,94
93,95
93,117
94,155
94,95
94,96
95,206
95,117
95,102
96,207
96,208
97,101
97,116
97,102
98,99
98,100
99,177
99,100
100,151
101,102
101,103
101,104
102,118
102,117
103,255
104,118
104,255
104,143
105,106
105,110
105,112
105,113
106,107
106,108
106,109
106,110
106,111
106,112
106,113
107,124
107,108
107,109
107,110
107,122
107,113
108,159
108,110
108,113
109,204
109,111
109,113
110,111
110,112
110,113
111,122
111,113
112,249
114,115
115,166
116,118
117,118
117,125
117,126
117,221
118,142
118,143
119,120
119,121
119,122
119,123
120,205
120,121
120,122
120,123
121,122
121,123
122,204
122,123
123,204
123,256
124,127
125,126
126,158
127,236
128,129
129,211
130,152
130,182
130,132
131,148
132,192
132,193
132,182
133,134
133,135
133,136
134,135
137,138
137,139
138,141
139,225
140,275
141,181
142,275
142,143
144,145
144,146
146,222
147,148
147,149
150,151
150,152
153,154
154,244
155,156
156,234
156,235
157,158
160,161
160,162
160,163
161,165
163,252
164,165
167,175
167,243
168,169
168,170
171,172
171,173
171,174
172,173
174,203
175,243
175,269
176,242
177,195
177,196
177,197
178,191
178,179
179,224
179,180
179,236
180,199
180,189
180,258
180,200
182,245
182,253
183,184
183,185
183,186
183,187
184,199
184,185
184,186
184,187
185,202
185,203
185,187
186,243
188,189
188,190
189,200
190,194
190,193
191,212
192,193
193,194
195,196
195,197
196,198
196,197
197,225
199,200
199,201
200,266
202,243
204,205
207,209
208,238
208,254
210,211
210,212
213,214
213,215
216,230
217,218
218,276
219,220
220,222
222,226
226,227
227,228
228,250
228,273
230,231
231,274
232,233
233,241
234,268
238,239
239,240
240,251
243,269
246,267
250,251
254,271
259,260
261,262
261,263
262,264
264,266
273,274
