nodeID_from,nodeID_to,node_label_from,node_label_to
1,200,Abbiategrasso,Vigevano
2,47,Acerra,Casalnuovo
2,48,Acerra,Caserta
2,58,Acerra,Ciampino
2,83,Acerra,Frosinone
2,94,Acerra,La Pigna
2,158,Acerra,S. Maria Capua Vetere
4,102,Adrano Centrale,Lineri
4,133,Adrano Centrale,Paterno
6,15,Alessandria,Asti
6,86,Alessandria,Genova Via di Francia
6,118,Alessandria,Moncalieri
6,138,Alessandria,Piacenza
7,88,Altamura,Gravina in Puglia
8,20,Ancona,Bari Centrale
8,21,Ancona,Barletta
8,27,Ancona,Bisceglie
8,34,Ancona,Brindisi
8,59,Ancona,Civitanova Marche-Montegranaro
8,79,Ancona,Foggia
8,98,Ancona,Lecce
8,117,Ancona,Molfetta
8,119,Ancona,Monopoli
8,120,Ancona,Montesilvano
8,137,Ancona,Pescara
8,179,Ancona,Termoli
8,186,Ancona,Trani
9,20,Andria,Bari Centrale
9,21,Andria,Barletta
9,28,Andria,Bitonto
9,63,Andria,Corato
10,52,Angri,Cava dei Tirreni
10,124,Angri,Nocera Inferiore
10,130,Angri,Pagani
10,145,Angri,Portici Bellavista
10,146,Angri,Portici Via Liberta
10,160,Angri,Salerno
10,168,Angri,Scafati
10,184,Angri,Torre Annunziata Centrale
10,185,Angri,Torre del Greco
10,195,Angri,Via Sant'Antonio
13,77,Arezzo,Firenze Porta Prato
13,78,Arezzo,Firenze Statuto
15,118,Asti,Moncalieri
16,175,Augusta,Siracusa
17,24,Aversa,Benevento
17,48,Aversa,Caserta
17,49,Aversa,Casoria-Afragola
18,56,Avezzano,Chieti
19,113,Bagheria,Milazzo
20,21,Bari Centrale,Barletta
20,27,Bari Centrale,Bisceglie
20,28,Bari Centrale,Bitonto
20,34,Bari Centrale,Brindisi
20,59,Bari Centrale,Civitanova Marche-Montegranaro
20,63,Bari Centrale,Corato
20,79,Bari Centrale,Foggia
20,98,Bari Centrale,Lecce
20,110,Bari Centrale,Martina Franca
20,117,Bari Centrale,Molfetta
20,119,Bari Centrale,Monopoli
20,120,Bari Centrale,Montesilvano
20,137,Bari Centrale,Pescara
20,179,Bari Centrale,Termoli
20,186,Bari Centrale,Trani
21,27,Barletta,Bisceglie
21,28,Barletta,Bitonto
21,34,Barletta,Brindisi
21,59,Barletta,Civitanova Marche-Montegranaro
21,63,Barletta,Corato
21,79,Barletta,Foggia
21,98,Barletta,Lecce
21,117,Barletta,Molfetta
21,119,Barletta,Monopoli
21,120,Barletta,Montesilvano
21,137,Barletta,Pescara
21,179,Barletta,Termoli
21,186,Barletta,Trani
23,160,Battipaglia,Salerno
24,25,Benevento,Benevento Porta Rufina
24,40,Benevento,Campobasso
24,48,Benevento,Caserta
26,171,Bergamo,Seregno
27,34,Bisceglie,Brindisi
27,59,Bisceglie,Civitanova Marche-Montegranaro
27,79,Bisceglie,Foggia
27,98,Bisceglie,Lecce
27,117,Bisceglie,Molfetta
27,119,Bisceglie,Monopoli
27,120,Bisceglie,Montesilvano
27,137,Bisceglie,Pescara
27,179,Bisceglie,Termoli
27,186,Bisceglie,Trani
28,63,Bitonto,Corato
29,163,Bollate Nord,Saronno
30,31,Bologna Centrale,Bologna Fiere
30,193,Bologna Centrale,Venezia Mestre
32,156,Bolzano,Rovereto
32,188,Bolzano,Trento
33,132,Brescia,Parma
