railway_name,railway_stops
Nordlandsbanen,"['Bodoe' 'Fauske' 'Hommelvik' 'Levanger' 'Mo i Rana' 'Mosjoeen'
 'Steinkjer' 'Stjoerdal' 'Trondheim S' 'Tverlandet' 'Verdal' 'Vikhamar']"
Dovrebanen,"['Brumunddal' 'Eidsvoll' 'Hamar' 'Lillehammer' 'Marienborg'
 'Melhus holdeplass' 'Moelv' 'Oppdal' 'Skansen' 'Trondheim S']"
Soerlandsbanen,"['Boe' 'Bryne' 'Egersund' 'Kongsberg' 'Kristiansand' 'Naerboe'
 'Oeksnavadporten' 'Paradis' 'Varhaug' 'Vennesla' 'Vestfossen']"
Oestfoldbanen,['Aas' 'Halden' 'Moss' 'Ski' 'Vestby']
Bergensbanen,['Arna' 'Bergen' 'Drammen' 'Hoenefoss' 'Vikersund']
Arendalsbanen,['Arendal']
Gjoevikbanen,['Gjoevik' 'Hakadal' 'Nittedal' 'Raufoss']
Spikkestadbanen,['Heggedal']
Drammensbanen,['Drammen' 'Nationaltheatret']
Urskog-Hoelandsbanen,[]
Fiborgtangen,[]
Gamle Vossebanen,[]
Loenga-Alnabrulinjen,[]
Gardermobanen,['Eidsvoll' 'Eidsvoll verk' 'Kloefta']
"Oestfoldbanen, indre",['Askim' 'Mysen' 'Rakkestad' 'Ski' 'Spydeberg']
Soloerbanen,['Elverum']
Roerosbanen,['Elverum' 'Roeros']
Stavnebanen,[]
Hovedbanen,['Eidsvoll' 'Jessheim']
Alnabanen,[]
Vestfoldbanen,['Drammen' 'Holmestrand' 'Larvik' 'Sandefjord' 'Stokke' 'Toensberg']
Bratsbergbanen,[]
Kongsvingerbanen,['Aarnes' 'Fetsund' 'Kongsvinger' 'Soerumsand' 'Svingen']
Ofotbanen,['Narvik']
Meraakerbanen,[]
Roa-Hoenefossbanen,[]
