railway_name,railway_stops
Linha Do Algarve,"['Albufeira-Ferreiras' 'Faro' 'Lagos' 'Olhao' 'Portimao' 'Tavira'
 'Vila Real de Santo Antonio']"
Linha De Cascais,"['Alges' 'Carcavelos' 'Cascais' 'Caxias' 'Cruz Quebrada' 'Estoril'
 'Monte Estoril' 'Oeiras' 'Paco de Arcos' 'Parede' 'S. Joao do Estoril'
 'S. Pedro do Estoril']"
Linha Do Alentejo,['Beja' 'Cuba' 'Vendas Novas']
Linha Do Sado,"['Alhos Vedros' 'Baixa da Banheira' 'Barreiro' 'Barreiro-A' 'Lavradio'
 'Moita' 'Pinhal Novo' 'Praca do Quebedo' 'Setubal']"
Linha De Guimaraes,['Guimaraes' 'Lordelo' 'Santo Tirso' 'Vila das Aves']
Linha Do Douro,"['Cete' 'Ermesinde' 'Godim' 'Paredes' 'Penafiel' 'Regua' 'Valongo'
 'Vila Mea']"
Linha Do Norte,"['Alhandra' 'Alverca' 'Aveiro' 'Azambuja' 'Carregado'
 'Castanheira do Ribatejo' 'Entroncamento' 'Estarreja' 'Mealhada'
 'Moscavide' 'Oliveira do Bairro' 'Ovar' 'Pampilhosa' 'Pombal' 'Povoa'
 'Sacavem' 'Santa Iria' 'Santarem' 'Vila Franca de Xira']"
Linha Do Minho,"['Aguas Santas' 'Barcelos' 'Barroselas' 'Darque' 'Ermesinde' 'Famalicao'
 'Rio Tinto' 'Sao Romao' 'Trofa' 'Valenca' 'Viana do Castelo']"
Ramal De Tomar,[]
Linha Da Beira Baixa,['Alcains' 'Castelo Branco' 'Covilha' 'Entroncamento' 'Fundao']
Linha Do Sul,"['Corroios' 'Fogueteiro' 'Foros de Amora' 'Grandola' 'Messines'
 'Pinhal Novo']"
Ramal De Leixoes,['Ermesinde' 'Leca do Balio' 'Leixoes' 'S. Mamede de Infesta' 'Sao Gemil']
Linha Do Oeste,"['Bombarral' 'Caldas da Rainha' 'Figueira da Foz' 'Leiria' 'Malveira'
 'Marinha Grande' 'Mira Sintra-Melecas' 'Rio de Mouro' 'Torres Vedras'
 'Valado']"
Linha De Evora,[]
Linha De Sintra,"['Algueirao-Mem Martins' 'Amadora' 'Lisboa-Rossio' 'Massama-Barcarena'
 'Merces' 'Mira Sintra-Melecas' 'Monte Abraao' 'Portela de Sintra'
 'Rio de Mouro' 'Sintra']"
Ramal Da Lousa,[]
Linha De Cintura,[]
Linha Do Vouga,['Agueda' 'Aveiro' 'Oliveira de Azemeis' 'Sao Joao da Madeira']
Linha Da Beira Alta,['Guarda' 'Mangualde' 'Nelas' 'Pampilhosa']
Ramal Da Alfarelos,[]
Linha Do Leste,[]
Linha De Vendas Novas,[]
Linha de Sines,[]
