railway_name,railway_stops
Kosovo Polje - Pec,['Kosovo Polje' 'Metohija' 'Pec']
E79: (Bgd) - Resnik - Pozega - Vrbnica - Drz.gr.,"['Barajevo' 'Beograd' 'Lazarevac' 'Pozega' 'Prijepolje' 'Sevojno' 'Uzice'
 'Valjevo']"
(Nis)-Crveni Krst-Zajecar-Prahovo pristaniste,['Knjazevac' 'Negotin' 'Svrljig' 'Zajecar']
(Ruma)-Rasp.D.Borina-Zvornik Grad,['Koviljaca' 'Loznica' 'Ruma']
(Nis)-Doljevac-Kastrat-Kosovo Polje,['Kosovo Polje' 'Podujevo' 'Pristina' 'Prokuplje']
E85:Lapovo-Kraljevo-Lesak-K.Polje-D.Jankovic-Drz,"['Batocina' 'Kosovo Polje' 'Kosovska Mitrovica' 'Kragujevac' 'Lipljan'
 'Obilic' 'Raska' 'Urosevac' 'Vucitrn']"
Nis - Dimitrovgrad - Drz.Gr.,['Bela Palanka' 'Dimitrovgrad' 'Nis' 'Pirot']
Stalac - Kraljevo - Pozega,['Cacak' 'Krusevac' 'Pozega' 'Trstenik' 'Vrnjacka Banja']
E70#E85:Bgd-Mladenovac-Nis-Presevo-Drz.Gr.(Taban),"['Cuprija' 'Jagodina' 'Klenje' 'Lapova Varos' 'Leskovac' 'Mladenovac'
 'Nis' 'Palanka' 'Paracin' 'Ripanj' 'Velika Plana']"
E85:(Bgd)-S.Pazova-Indjija-Subotica-Drz.Gr.,"['Backa Topola' 'Beska' 'Indjija' 'Kisac' 'Kraljevo' 'Novi Sad'
 'Petrovaradin' 'Sremski Karlovci' 'Subotica' 'Vrbas']"
Metohija - Prizren,['Metohija' 'Prizren']
E70 : Beograd-Stara Pazova-Sid-Drz.Gr(Tovarnik),['Beograd' 'Nova Pazova' 'Ruma' 'Sid' 'Sremska Mitrovica' 'Stara Pazova']
Subotica - Horgos - Drz.Gr.,['Horgos' 'Palic']
Vladimirovac - Kovin,['Bavaniste' 'Kovin']
Bac - Karavukovo,['Bac']
E70#E85:(Beograd)-Rakovica-Jajinci-M.Krsna-V.Plana,['Vrcin']
Becej - Sombor,['Crvenka' 'Kljajicevo' 'Kula' 'Sivac' 'Vrbas']
(N.Sad)-SajlovoR.-R.Sancevi-Orlovat staj.-(Tomas.,['Kac' 'Titel']
Smederevo - Mala Krsna,['Radinac']
Pancevo Glavna-Zrenjanin-Kikinda-Drz.Gr.,['Kacarevo' 'Kikinda' 'Kovacica' 'Melenci' 'Novi Becej']
Markovac - Resavica,['Svilajnac']
Sonta - Apatin Fabrika - Strilic - (Sombor),['Apatin']
Novi Sad - Rimski Sancevi - Senta - Horgos,['Becej']
(Zrenjanin) - Zr.Fabrika - Vrsac - Bela Crkva,['Bela Crkva' 'Vrsac']
E771: Subotica - Bogojevo - Drz.Gr.,['Bajmok' 'Sombor']
(Novi Sad)-R.Sancevi-Senta-Horgos,['Curug' 'Horgos' 'Kanjiza' 'Temerin' 'Zabalj']
(Topc.)-Blok1Ob-Bgd Spolj.-Blok2Prelaz-(BGD D.Gr.),[]
Topc.-BlokOb-MestoPrel.-BGD Dunav-RasPanMost-(Pan),['Beograd']
Novi Sad-Sajlovo Rasputica-Odzaci-Bogojevo,['Futog' 'Odzaci']
Bgd Ranzirna A - Ostruznica - Batajnica Ulaz,['Surcin']
Ruma-Sabac-Rasp.D.Borina-Drz.Gr.(Novi Zvornik),['Sabac']
BgdRanz.A(B)-Ostruznica -Batajnica-Rasp.B(K)Resnik,[]
(Barlovo) - Rasputnica 1 - Kursumlija,['Kursumlija']
Banatsko Milosevo - Senta - Subotica,['Senta']
E79#E85#E70#E85,[]
Mala Krsna-Bor-Rasputnica 2- (Vrazogrnac),['Bor' 'Pozarevac']
Topcider-Rasputnica Savski Most-(Novi Beograd),[]
Beograd Ranzirna B - Ostruznica Izlaz,[]
Rasput 1 (Trnavac) - Rasput 3 (Rgotina),[]
Beograd Ranzirna B - Rap. B - Rasp. K - Resnik,[]
Sarganska osmica#touristic line,[]
(Ulaz) - Ranz. A - Rasp. T Bgd - Rakovica,[]
(Ulaz) - Bgd Ranzirna A - Rasp. T Bgd - Rakovica,[]
Sid - Sremska Raca Nova - Drz.Gr.,['Sid']
E66: Bgd Centar-Pancevo Varos-Vrsac-Drz.Gr.,['Banatsko Novo Selo' 'Pancevo' 'Pancevo varos' 'Vrsac']
E85:(Bgd)-S.Pazova-Indjija-Subotica-Drz.Gr.-Golub,['Indjija']
Kruzni tunel,[]
E79#E70#E85,[]
E70#E85 Beograd Centar-Rasp.G-Rakovica,[]
Indjija - Golubnici,[]
Bgd Ranz.A-Ostruznica- Batajnica Ulaz- Rasput.B,[]
Obilazni kolosek Mala Krsna,[]
Kursumlija - Kastrat,[]
Indjija selo,[]
N.Sad Ranzirna-N.Sad Lokoteretna-Sajlovo Rasp.,[]
(Uljma)-Rasp.A-Rasp.B-(Jasenovo),[]
Pancevo Varos - Rasputnica 2a - (Jabuka),[]
Nis-Rasputnica Most-(Nis Ranzirna),[]
Secanj - Jasa Tomic,[]
Beograd Ranzirna B - Rasputnica R (T) - Rakovica,[]
Ostruznica-Rasp.B-(Rasp.K-Resnik),[]
Crveni Krst - Nis Ranzirna,[]
(Bgd.Rasp.B)-Rasp.K-Rasp.K1-(Jajinci),[]
Beograd Centar - Novi Beograd,[]
Tunel Borovac,[]
Tunel Rudare,[]
Trupale - Nis Ranzirna - Medjurovo,[]
Tunel Zlatibor,[]
N.Sad-N.Sad Ranzirna-Sajlovo Rasp.-(Kisac),['Novi Sad']
Merdarski tunel,[]
